Date,Open,High,Low,Close
6 08 2018,7024.19,7160,6821,6934.82
5 08 2018,7009.84,7089.87,6882.29,7024.19
4 08 2018,7412.27,7494.81,6926,7009.84
3 08 2018,7525.71,7540,7282.44,7418.78
2 08 2018,7600.08,7709.46,7455.72,7525.71
1 08 2018,7735.67,7750,7430,7604.58
31 07 2018,8171.4,8180,7633,7730.93
30 07 2018,8210.99,8273,7866,8173.92
29 07 2018,8225.04,8294.51,8115,8211
28 07 2018,8188.57,8246.54,8067,8225.04
27 07 2018,7920,8285,7805,8188.57
26 07 2018,8175.63,8315.69,7850.06,7920
25 07 2018,8397.24,8491.77,8050,8175.64
24 07 2018,7721.65,8486,7696,8397.24
23 07 2018,7394.78,7833,7375,7721.01
22 07 2018,7399.25,7582.4,7335.5,7394.79
21 07 2018,7337.47,7458.47,7211,7398.78
20 07 2018,7468.86,7700,7273,7337.53
19 07 2018,7381.88,7576.28,7270,7466.21
18 07 2018,7317.44,7588.08,7225.38,7381.9
17 07 2018,6723.33,7468.99,6652.04,7317.44
16 07 2018,6354.15,6747.3,6330.4,6723.35
15 07 2018,6250.9,6395,6225.4,6353.01
14 07 2018,6214.57,6335,6178,6251.99
13 07 2018,6251.4,6350,6110,6214.57
12 07 2018,6378.07,6380.28,6070,6250.57
11 07 2018,6296.91,6406,6278.99,6378.07
10 07 2018,6662.78,6681,6263,6296.91
9 07 2018,6712.1,6802.06,6612.24,6662.12
8 07 2018,6753.48,6780,6667.44,6712.1
7 07 2018,6609.79,6818.16,6508.88,6756.98
6 07 2018,6529.2,6648.54,6425,6609.78
5 07 2018,6585.53,6712,6453.33,6529.2
4 07 2018,6511.01,6784.92,6441.11,6586.98
3 07 2018,6615.29,6679.35,6463.01,6513.86
2 07 2018,6360.82,6685,6271.62,6615.29
1 07 2018,6391.08,6441.06,6251,6356.81
30 06 2018,6197.92,6528.99,6186.03,6390.07
29 06 2018,5851.01,6300,5780,6197.92
28 06 2018,6134.73,6173.01,5827,5853.98
27 06 2018,6065.89,6190.43,5971,6133.73
26 06 2018,6252,6272.54,6035,6070.78
25 06 2018,6137.95,6350,6061.97,6252
24 06 2018,6149.98,6259.8,5750,6136.97
23 06 2018,6045.92,6260,6008.48,6149.98
22 06 2018,6717.69,6733.97,5918.94,6045
21 06 2018,6763.21,6795,6672.57,6718.84
20 06 2018,6740,6817.23,6551.81,6761.51
19 06 2018,6711.39,6841.74,6653,6741.21
18 06 2018,6444.06,6794.38,6380,6712.46
17 06 2018,6482.5,6589.03,6422,6449.61
16 06 2018,6380.01,6560,6320.86,6483.98
15 06 2018,6638.67,6666.66,6362.31,6388.9
14 06 2018,6292.78,6720,6260,6635.98
13 06 2018,6530,6627.6,6118.68,6292.78
12 06 2018,6872,6890.51,6435,6530
11 06 2018,6765,6922,6610,6872
10 06 2018,7491.73,7491.73,6622.81,6764.99
9 06 2018,7603.44,7683.98,7450,7491.73
8 06 2018,7691.08,7703.5,7531,7603.44
7 06 2018,7658.79,7765,7620,7691.08
6 06 2018,7626.64,7699,7467.05,7658.84
5 06 2018,7487,7679.49,7358,7625
4 06 2018,7714.26,7760.52,7446.5,7487
3 06 2018,7636.81,7786.69,7600,7714.26
2 06 2018,7521.01,7697.33,7437,7640.03
1 06 2018,7485.01,7608.55,7355.54,7521.01
31 05 2018,7382.07,7699,7327.51,7485.01
30 05 2018,7467.98,7569,7260.5,7375.96
29 05 2018,7099,7540,7032.95,7461.29
28 05 2018,7338.99,7437,7058.02,7099
27 05 2018,7334,7400,7231.11,7338.99
26 05 2018,7456.99,7620,7300,7333.96
25 05 2018,7578.99,7649.55,7308.15,7457
24 05 2018,7501.95,7730.73,7266.99,7575.01
23 05 2018,7977.12,8031.9,7425,7501.95
22 05 2018,8386.89,8400.18,7935.11,7977.11
21 05 2018,8526.97,8595.31,8305,8381.24
20 05 2018,8233.49,8609,8163.9,8526.98
19 05 2018,8238.01,8390.8,8095.73,8233.49
18 05 2018,8038.82,8273.21,7911.9,8239.81
17 05 2018,8330,8464,7979,8041.46
16 05 2018,8462,8488,8083.01,8330
15 05 2018,8663.37,8859.99,8401.3,8462
14 05 2018,8679.71,8879.99,8277,8663.34
13 05 2018,8475.44,8763.36,8298,8679.71
12 05 2018,8405.94,8646.88,8153,8465.94
11 05 2018,9002.21,9016.8,8341,8400
10 05 2018,9310,9395.12,8970,9002.2
9 05 2018,9178,9390,8965,9310
8 05 2018,9365,9475.7,9060.54,9187.56
7 05 2018,9661.02,9689.67,9181,9365
6 05 2018,9863.99,9970,9417.03,9659.01
5 05 2018,9714,10020,9682,9864
4 05 2018,9750,9830.04,9520.85,9713.99
3 05 2018,9247.81,9844,9168.4,9750
2 05 2018,9071.48,9268,8970.2,9247.84
1 05 2018,9246.01,9248.99,8800.49,9071.48
30 04 2018,9417.04,9458.64,9124.99,9246.01
29 04 2018,9348,9570.51,9163.74,9419
28 04 2018,8915.35,9427.48,8870,9348
27 04 2018,9267.03,9395,8889,8915.35
26 04 2018,8869.99,9307.48,8651.62,9266
25 04 2018,9618.96,9759.82,8730,8869.99
24 04 2018,8934,9731.01,8922,9619.99
23 04 2018,8785.7,8985,8745,8934.01
22 04 2018,8915.31,9020.67,8727.68,8787.02
21 04 2018,8852.12,9035,8565,8915.31
20 04 2018,8273.84,8930,8177.09,8856.98
19 04 2018,8173.99,8296,8080,8278
18 04 2018,7890.96,8236.43,7868,8173
17 04 2018,8064.92,8173.7,7825.4,7885.02
16 04 2018,8355.07,8419,7867,8064.92
15 04 2018,8004,8429.54,7999.02,8355
14 04 2018,7877.48,8186,7810,7999.01
13 04 2018,7922.99,8233.39,7732,7877.41
12 04 2018,6953.78,8012.23,6743.2,7923
11 04 2018,6839.56,6990,6787,6953.79
10 04 2018,6781.55,6890,6656,6843.9
9 04 2018,7011.04,7185,6611,6782.72
8 04 2018,6895.81,7109.13,6880,7018
7 04 2018,6601.39,7070,6586.28,6895.8
6 04 2018,6770,6850,6500,6601.39
5 04 2018,6796.1,6902,6566.69,6770.76
4 04 2018,7405.21,7427.52,6707,6796.1
3 04 2018,7063.97,7520,7011.01,7405.21
2 04 2018,6813.01,7125,6765,7056
1 04 2018,6922,7049.98,6430,6813.01
31 03 2018,6840.24,7223.36,6777,6923.91
30 03 2018,7090.16,7292.43,6600.1,6840.23
29 03 2018,7949.3,7975,6941.11,7090.14
28 03 2018,7795.51,8109,7728,7949.3
27 03 2018,8134.22,8215.94,7730,7795.51
26 03 2018,8470.14,8514.89,7831,8134.23
25 03 2018,8531.25,8669.85,8365.77,8470.15
24 03 2018,8898.04,8999.95,8491,8546.86
23 03 2018,8720,8909,8269,8898.03
22 03 2018,8884.82,9100,8465.1,8722.9
21 03 2018,8909.96,9177.01,8750.6,8885
20 03 2018,8595.01,9050,8280,8909.98
19 03 2018,8189,8705.23,8088.4,8600
18 03 2018,7824.01,8317.4,7322,8189.99
17 03 2018,8260,8348.62,7721.99,7824.8
16 03 2018,8240.98,8611.64,7900,8260
15 03 2018,8184.01,8430,7650,8240.98
14 03 2018,9151.92,9333.78,7900.28,8170
13 03 2018,9131.34,9474,8823,9150
12 03 2018,9533.57,9888.88,8780,9131.34
11 03 2018,8770.22,9740,8450,9533.57
10 03 2018,9230,9490,8667.07,8770.22
9 03 2018,9267.07,9410,8329,9227
8 03 2018,9910,10099,9060,9271.64
7 03 2018,10716.48,10899,9389.31,9910
6 03 2018,11455,11455,10555.48,10716.48
5 03 2018,11515,11710,11415.01,11454
4 03 2018,11464.47,11565,11050.02,11515
3 03 2018,11038.99,11544,11015.01,11464.48
2 03 2018,10923.36,11200,10770,11039
1 03 2018,10325.64,11060.41,10240,10920
28 02 2018,10584.33,11098,10300,10326.76
27 02 2018,10321,10870,10121,10569.04
26 02 2018,9590,10444.32,9350,10324
25 02 2018,9694.51,9847,9274.8,9590
24 02 2018,10131.04,10496.97,9352,9694.51
23 02 2018,9815.55,10435,9570.19,10131.04
22 02 2018,10439.02,10933.44,9679,9811.04
21 02 2018,11195.07,11304.03,10200,10437.6
20 02 2018,11147.11,11786.01,11100.59,11200.99
19 02 2018,10375.01,11250,10270.33,11153
18 02 2018,11039.55,11274,10080,10383.43
17 02 2018,10156.07,11075.07,10050,11039.55
16 02 2018,10000.89,10323.37,9666,10159.98
15 02 2018,9449.98,10219.5,9301.5,10000.09
14 02 2018,8535.17,9489.6,8533,9449.99
13 02 2018,8903,8950,8351,8539.9
12 02 2018,8063.82,8989,8053,8903
11 02 2018,8533.99,8549,7726.53,8063.88
10 02 2018,8683.93,9065.78,8120,8533.98
9 02 2018,7789.9,8738,7789.9,8683.92
8 02 2018,7599,7844,7572.09,7784.02
7 02 2018,7655.02,8476,7150.01,7599
6 02 2018,6939.63,7878,6000.01,7652.14
5 02 2018,8179.99,8382.8,6625,6939.99
4 02 2018,9199.96,9368,7930,8184.81
3 02 2018,8873.03,9473.01,8229,9199.96
2 02 2018,9224.52,9250,8010.02,8873.03
1 02 2018,10285.1,10335,8750.99,9224.52
31 01 2018,10230,10425.85,9700,10285.1
30 01 2018,11250.11,11308.42,9900,10237.51
29 01 2018,11879.95,11975.02,11139.55,11251
28 01 2018,11499.98,12244,11408,11879.95
27 01 2018,11089,11650,10842.69,11491
26 01 2018,11184.7,11643,10311.15,11089
25 01 2018,11349.96,11794.05,10950.21,11175.27
24 01 2018,10799.14,11570.48,10500,11349.99
23 01 2018,10760.05,11399,9905,10799.18
22 01 2018,11530,11926.35,9900.24,10760.05
21 01 2018,12799.8,12799.8,10965,11530
20 01 2018,11474.98,13099,11412.45,12799.94
19 01 2018,10960,11795,10360,11474.98
18 01 2018,10972.59,11878.82,10435.33,10961.97
17 01 2018,10899.99,11680.99,9037.94,10988.79
16 01 2018,13500,13542.93,9035,10900
15 01 2018,13477.98,14249.99,13147.79,13539.93
14 01 2018,14210,14339.5,12569.2,13474.99
13 01 2018,13749.95,14580,13706.15,14210
12 01 2018,13238.76,14109.78,12500,13740.01
11 01 2018,14940,14968.68,11400,13238.78
10 01 2018,14401,14955.66,13131.31,14907.09
9 01 2018,14902.54,15500,14011.05,14400
8 01 2018,16218.85,16322.3,12812,14902.54
7 01 2018,17069.79,17099.96,15610,16150.03
6 01 2018,16960.39,17143.13,16011.21,17069.79
5 01 2018,15059.56,17176.24,14600,16960.39
4 01 2018,14919.51,15280,13918.04,15059.54
3 01 2018,14690,15307.56,14150,14919.51
2 01 2018,13382.16,15473.49,12890.02,14675.11
1 01 2018,13715.65,13818.55,12750,13380
31 12 2017,12345.1,14050.11,12149.98,13716.36
30 12 2017,14378.99,14398.85,11750,12440.01
29 12 2017,14199.14,14981,13850,14378.9
28 12 2017,15459.97,15539.99,13150,14182.11
27 12 2017,15709.98,16498.05,14200.15,15459.99
26 12 2017,13699.34,16050,13533,15689.01
25 12 2017,13500,14300,12708,13699.34
24 12 2017,13300,13819.99,11640,13500
23 12 2017,13326.61,14950,12978.18,13300
22 12 2017,15514.03,15699.34,10961,13326.61
21 12 2017,16480.52,17309.5,14022,15492.64
20 12 2017,17295.2,17720.35,14777.66,16488.98
19 12 2017,18856.25,18950,16300,17295.2
18 12 2017,18860.04,19300,17029.98,18856.25
