date,open,high,low,close
 05 04 2020,144.1,145.58,140.68,142.68
 04 04 2020,141.3,146.28,138.88,144.1
 03 04 2020,141.27,146.72,137.26,141.31
 02 04 2020,135.65,149.76,135.01,141.28
 01 04 2020,132.72,136.99,128.62,135.69
 31 03 2020,132.09,135,130.38,132.72
 30 03 2020,124.47,135.42,124.06,132.06
 29 03 2020,130.94,131.84,123.81,124.5
 28 03 2020,131.33,132.97,124.88,130.98
 27 03 2020,138.4,141.27,129.68,131.33
 26 03 2020,136.11,139.74,133.26,138.4
 25 03 2020,138.42,142.33,132.54,136.1
 24 03 2020,135.89,143.36,132.2,138.42
 23 03 2020,122.31,137.5,119.5,135.92
 22 03 2020,132.63,137.13,121.1,122.32
 21 03 2020,133.49,137.49,125.69,132.66
 20 03 2020,136.3,152.55,116.74,133.48
 19 03 2020,118.11,143.13,115.46,136.3
 18 03 2020,115.67,118.5,109.86,118.11
 17 03 2020,111.02,120.8,109.38,115.67
 16 03 2020,123.82,124.33,101.1,111.02
 15 03 2020,122.54,133.5,120.16,123.78
 14 03 2020,134.06,134.68,120,122.54
 13 03 2020,107.67,139.68,86,134.06
 12 03 2020,194.61,195.55,101.2,107.82
 11 03 2020,200.74,203.18,181.73,194.61
 10 03 2020,202.79,206.2,195.54,200.7
 09 03 2020,199.43,208.62,190,202.81
 08 03 2020,237.23,237.23,195.5,199.43
 07 03 2020,244.93,251.93,236,237.23
 06 03 2020,228.38,245.16,227.33,244.88
 05 03 2020,224.26,234.09,224.23,228.38
 04 03 2020,223.84,228.85,220.23,224.26
 03 03 2020,232.1,232.46,219.57,223.91
 02 03 2020,217.81,234.4,216.07,231.97
 01 03 2020,217.29,227.89,212.36,217.81
 29 02 2020,226.76,233,217,217.21
 28 02 2020,227.73,234.67,214.01,226.76
 27 02 2020,223.98,238.3,210,227.79
 26 02 2020,246.67,250.32,215.66,223.93
 25 02 2020,265.47,266.22,244.44,246.67
 24 02 2020,274.5,277.2,257.09,265.52
 23 02 2020,261.55,275.68,261.02,274.48
 22 02 2020,265.32,266.81,256,261.57
 21 02 2020,256.97,268.24,253.61,265.27
 20 02 2020,258.44,264.33,245.34,256.96
 19 02 2020,282.64,285,251.56,258.45
 18 02 2020,267.9,285.88,258,282.61
 17 02 2020,258.89,268.77,242,267.85
 16 02 2020,264.91,274,237.41,258.85
 15 02 2020,285.11,288.41,261.86,264.88
 14 02 2020,268.34,287.15,260.28,285.15
 13 02 2020,265.74,277.69,256.08,268.32
 12 02 2020,236.69,275.34,236.69,265.74
 11 02 2020,222.89,239.15,218.17,236.69
 10 02 2020,228.53,229.4,216.37,222.89
 09 02 2020,223.01,230.65,222.86,228.49
 08 02 2020,223.36,227.75,213.22,223.05
 07 02 2020,213.16,225,213.14,223.33
 06 02 2020,203.78,216.33,201.02,213.19
 05 02 2020,188.91,207.61,188.19,203.78
 04 02 2020,189.74,191.6,184.69,188.91
 03 02 2020,188.48,195.19,186.62,189.69
 02 02 2020,183.63,193.43,179.1,188.44
 01 02 2020,179.94,184.28,179.23,183.6
 31 01 2020,184.71,185.82,175.22,179.99
 30 01 2020,173.68,187,170.93,184.69
 29 01 2020,175.58,178.45,173.33,173.72
 28 01 2020,170.04,176.2,170.03,175.64
 27 01 2020,167.91,172.56,165.22,170.08
 26 01 2020,160.36,168.08,159.41,167.86
 25 01 2020,162.51,162.79,157.61,160.35
 24 01 2020,162.85,164.45,155.55,162.54
 23 01 2020,168.07,168.2,159.21,162.81
 22 01 2020,169.48,171.47,166.03,168.07
 21 01 2020,166.86,170.32,164.8,169.49
 20 01 2020,166.79,169.33,161.24,166.87
 19 01 2020,174.1,178.05,161.66,166.79
 18 01 2020,169.92,179.5,164.92,174.14
 17 01 2020,164.24,174.81,162.14,169.85
 16 01 2020,166.4,167.4,157.8,164.21
 15 01 2020,165.6,171.98,159.2,166.4
 14 01 2020,143.58,171.7,143.51,165.64
 13 01 2020,146.56,147,142.27,143.58
 12 01 2020,142.4,146.6,141.76,146.54
 11 01 2020,144.83,148.05,142.09,142.38
 10 01 2020,137.73,145.17,135.32,144.84
 09 01 2020,140.76,141.5,135.3,137.74
 08 01 2020,142.8,147.77,137.03,140.72
 07 01 2020,144.14,145.31,138.76,142.8
 06 01 2020,135.37,144.41,134.86,144.15
 05 01 2020,134.2,138.19,134.19,135.37
 04 01 2020,134.37,135.85,132.5,134.2
 03 01 2020,127.19,135.14,125.88,134.35
 02 01 2020,130.72,130.78,126.38,127.19
 01 01 2020,129.16,133.05,128.68,130.77
 31 12 2019,131.61,133.68,128.17,129.16
 30 12 2019,134.36,136.24,130.3,131.59
 29 12 2019,128.11,138.07,127.52,134.36
 28 12 2019,126.28,129.68,125.84,128.11
 27 12 2019,125.58,127.1,121.91,126.29
 26 12 2019,125.09,132.26,124.32,125.58
 25 12 2019,127.7,127.84,123.07,125.09
 24 12 2019,127.8,129.69,126.61,127.75
 23 12 2019,132.12,135.1,126,127.8
 22 12 2019,127,133.07,126.82,132.09
 21 12 2019,128.19,128.4,126.5,126.99
 20 12 2019,128.1,129.39,125.84,128.19
 19 12 2019,132.8,134,125.69,128.1
 18 12 2019,121.88,134.87,116.26,132.78
 17 12 2019,132.72,132.98,119.11,121.88
 16 12 2019,142.46,142.72,127.93,132.73
 15 12 2019,141.79,144.12,139.92,142.46
 14 12 2019,144.8,145.07,141.18,141.79
 13 12 2019,144.87,146,142.8,144.8
 12 12 2019,143.41,145.85,139.24,144.87
 11 12 2019,145.53,146.34,142.12,143.39
 10 12 2019,147.4,148.57,143.81,145.56
 09 12 2019,150.44,151.19,146.56,147.38
 08 12 2019,147.16,151.62,146.11,150.44
 07 12 2019,148.46,149.49,146.85,147.14
 06 12 2019,148.11,149.77,145.74,148.45
 05 12 2019,145.45,149.02,143.64,148.1
 04 12 2019,147.19,151.98,143.15,145.38
 03 12 2019,148.66,149.93,145.77,147.17
 02 12 2019,150.72,151.42,146.71,148.65
 01 12 2019,151.43,152.49,145.79,150.73
 30 11 2019,154.54,155.25,149.7,151.37
 29 11 2019,150.69,157.6,150.23,154.57
 28 11 2019,152.61,154.63,149.09,150.72
 27 11 2019,147.47,155.54,140.84,152.62
 26 11 2019,145.81,149.97,143.37,147.47
 25 11 2019,139.99,151.5,131.45,145.69
 24 11 2019,151.84,152.86,138.62,139.96
 23 11 2019,149.55,154.33,146.11,151.84
 22 11 2019,161.02,162.79,138,149.56
 21 11 2019,174.75,175.85,157.26,161.01
 20 11 2019,175.93,177.41,173.5,174.72
 19 11 2019,178.2,178.52,172.65,175.94
 18 11 2019,183.82,184.06,175.01,178.2
 17 11 2019,182.37,186.09,180,183.82
 16 11 2019,179.99,183.46,179.3,182.37
 15 11 2019,184.93,186.7,177.67,180
 14 11 2019,188.07,188.72,183.34,184.92
 13 11 2019,187.09,189.66,185.3,188.11
 12 11 2019,184.98,187.65,182.41,187.09
 11 11 2019,188.96,190.19,184.06,184.98
 10 11 2019,184.86,191.58,183.3,188.96
 09 11 2019,183.71,185.79,182.63,184.89
 08 11 2019,186.67,188.26,181.41,183.74
 07 11 2019,191.16,192.27,184.59,186.68
 06 11 2019,188.65,195.09,187.72,191.16
 05 11 2019,185.71,192.51,182.22,188.68
 04 11 2019,181.53,188.64,180.36,185.71
 03 11 2019,182.9,184.7,178.95,181.54
 02 11 2019,182.86,186,181.53,182.91
 01 11 2019,182.19,184.5,177.02,182.85
 31 10 2019,183.14,185.27,177.66,182.18
 30 10 2019,190.45,191.71,179.28,183.13
 29 10 2019,181.67,192.74,181.26,190.46
 28 10 2019,183.84,189.48,180.35,181.72
 27 10 2019,179.42,188.7,176.22,183.75
 26 10 2019,181.53,197.74,173.8,179.49
 25 10 2019,160.39,187.78,160.25,181.5
 24 10 2019,162.35,163.72,158.72,160.38
 23 10 2019,171.19,171.49,153.45,162.35
 22 10 2019,174,175.04,170.3,171.2
 21 10 2019,175.18,177.9,171.59,173.98
 20 10 2019,171.84,176.88,169.21,175.22
